"Positions 
All Accounts 
as of 01/21/2026 at 07:37:27 PM"

Symbol,Quantity,Last,$ Chg,% Chg,Volume,$ Day G/L,% Day G/L,$ Total G/L,% Total G/L,Value,% of Acct,Basis,Day Range,52W Range,Earnings Date,Div Amt,Div Ex-Date
ABVX,4,120.01,1.17,0.98,"798,335",4.68,0.98,201.24,72.18,480.04,8.60,278.8,117.01-121.44,4.77-148.83,Dec-15-2025,0.00,--
AMZN,3,231.31,0.31,0.13,"47,260,608",0.93,0.13,13.90,2.04,693.93,12.43,680.03,226.88-232.30,161.38-258.60,Feb-4-2026,0.00,--
AVXL,-40,5.30,0.27,5.37,"1,425,553",-10.80,-5.37,56.08,20.91,-212.00,-3.80,268.08,4.95-5.35,2.86-13.99,Feb-10-2026,0.00,--
CRVS,42,22.15,0.74,3.46,"15,168,410",31.08,3.45,614.35,194.44,930.30,16.66,315.95,19.53-24.08,2.54-24.08,Mar-23-2026,0.00,--
QBTS,-5,26.04,-1.00,-3.70,"44,396,602",5.00,3.69,20.05,13.34,-130.20,-2.33,150.25,24.74-28.15,4.45-46.75,Mar-23-2026,0.00,--
Cash (SPAXX),707.08,1.00,0.00,0.00,0,--,--,--,--,707.08,12.66,--,0.00-0.00,3.34-4.03,--,0.0032,Nov-3-2025
COPX,4,83.97,1.72,2.09,"5,751,405",6.88,2.09,12.89,3.99,335.88,6.02,322.99,83.14-85.58,30.77-85.58,--,1.6725,Dec-30-2025
KRKNF,65,5.47,-0.03,-0.55,"2,462,085",-1.95,-0.55,110.99,45.38,355.55,6.37,244.56,5.20-5.59,1.40-6.44,--,0.00,--
NVDA,2.2,183.32,5.25,2.95,"200,251,378",11.55,2.94,2.63,0.65,403.30,7.22,400.67,178.40-185.38,86.62-212.19,Feb-25-2026,0.01,Dec-4-2025
CRM,3,221.58,1.51,0.69,"12,615,061",4.53,0.68,-54.53,-7.59,664.74,11.90,719.27,218.96-223.39,218.96-367.09,Feb-24-2026,0.416,Dec-18-2025
SPRB,8,78.92,7.46,10.44,"36,580",59.68,10.43,-184.96,-22.66,631.36,11.31,816.32,72.59-78.92,4.28-240.00,Apr-13-2026,0.00,--
TELO,30,1.32,-0.01,-0.75,"97,416",-0.30,-0.76,-33.96,-46.17,39.60,0.71,73.56,1.3138-1.3681,1.12-5.40,Feb-2-2026,0.00,--
UNH,1,347.75,9.32,2.75,"8,931,665",9.32,2.75,58.82,20.35,347.75,6.23,288.93,338.69-348.08,234.60-606.36,Jan-27-2026,2.21,Dec-8-2025
BHVN,35,12.87,0.19,1.50,"3,478,779",6.65,1.49,171.20,61.30,450.45,23.66,279.25,12.70-13.85,7.48-44.28,Mar-2-2026,0.00,--
QURE,10,21.74,-0.66,-2.95,"1,433,510",-6.60,-2.95,-73.74,-25.33,217.40,11.42,291.14,21.64-22.57,7.76-71.50,Feb-25-2026,0.00,--
META,1,612.96,8.84,1.46,"14,490,293",8.84,1.46,-53.37,-8.01,612.96,32.19,666.33,600.08-618.27,479.80-796.25,Jan-28-2026,0.525,Dec-15-2025
Cash (SPAXX),131.62,1.00,0.00,0.00,0,--,--,--,--,131.62,6.91,--,0.00-0.00,3.34-4.03,--,0.0032,Nov-3-2025
MRVL,5,82.55,2.75,3.45,"17,130,649",13.75,3.44,10.50,2.61,412.75,21.68,402.25,80.40-84.29,47.08-127.48,Mar-3-2026,0.06,Jan-9-2026
SPRB,1,78.92,7.46,10.44,"36,580",7.46,10.43,-21.08,-21.08,78.92,4.14,100,72.59-78.92,4.28-240.00,Apr-13-2026,0.00,--

Disclosure
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. 
The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security 
or digital asset by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. 
It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. 
For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.
 
Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). 
Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."
